miner,points,total_orders
5FUbUjTuSrcUbDKTWWbjiyY8QTJS5c9nvWseLSopCFJDju43,27,29
5HE4v4d2ShWpsWeasynVaawvBjRcZsLX2sd5MGPiwoJfywir,12,13
5DfhKZckZwjCqEcBUsW7jwzA5APCdj5SgZbfK6zzS9bMPuHn,13,14
5GCDZ6Vum2vj1YgKtw7Kv2fVXTPmV1pxoHh1YrsxqBvf9SRa,3,11
5C8Wegdus2cAcwSNU47MdiLXwZdewFkSv93xUWQP3wn32QJV,15,18
5C5GANtAKokcPvJBGyLcFgY5fYuQaXC3MpVt75codZbLLZrZ,3,4
5D4zieKMoRVm477oUyMTZAWZ9orzpiJM8K6ufQQjryiXwpGU,6,10
5Hbd1S9JiUTFD9rUkbVtywjtfd82nb6HuannsjonMS36N1tb,3,6
5DX8tSyGrx1QuoR1wL99TWDusvmmWgQW5su3ik2Sc8y8Mqu3,1,1
5Eh9p81ioCeoTArv7kSa1PWcaXw33UdRjVQfLQsFPpn474GC,3,5
5Exax1W9RiNbARDejrthf4SK1FQ2u9DPUhCq9jm58gUysTy4,3,4
5E7DEGmFUewdJTnSh829jGc3SpSd295hhvUgNcNiQST6bw4A,0,1
5G9yGe6TEDxx7wD2mpM2XSu8P7gVt6wwUvuXRrHGAYJDA955,13,15
5GTL7WXa4JM2yEUjFoCy2PZVLioNs1HzAGLKhuCDzzoeQCTR,0,2
